Year,Day of Week,Month,Day,Time (ET),Game Type,Home Team,Away Team,Arena,City,State,Attendance,Date
2022,Thursday,June,16,7:00 PM,Regular season,New York Liberty,Washington Mystics,Barclays Center,Brooklyn,NY,4168,2022-06-16
2022,Friday,June,17,7:00 PM,Regular season,Connecticut Sun,Seattle Storm,Mohegan Sun Arena,Uncasville,CT,7088,2022-06-17
2022,Friday,June,17,8:00 PM,Regular season,Dallas Wings,Phoenix Mercury,College Park Center,Arlington,TX,3140,2022-06-17
2022,Friday,June,17,8:00 PM,Regular season,Chicago Sky,Atlanta Dream,Wintrust Arena,Chicago,IL,7435,2022-06-17
2022,Sunday,June,19,12:00 PM,Regular season,New York Liberty,Seattle Storm,Barclays Center,Brooklyn,NY,6859,2022-06-19
2022,Sunday,June,19,3:00 PM,Regular season,Indiana Fever,Chicago Sky,Indiana Farmers Coliseum,Indianapolis,IN,1706,2022-06-19
2022,Sunday,June,19,2:00 PM,Regular season,Washington Mystics,Connecticut Sun,Entertainment and Sports Arena,Washington,DC,3959,2022-06-19
2022,Sunday,June,19,4:00 PM,Regular season,Dallas Wings,Los Angeles Sparks,College Park Center,Arlington,TX,3779,2022-06-19
2022,Sunday,June,19,6:00 PM,Regular season,Las Vegas Aces,Minnesota Lynx,Michelob ULTRA Arena,Las Vegas,NV,4603,2022-06-19
2022,Tuesday,June,21,7:00 PM,Regular season,Atlanta Dream,Dallas Wings,Gateway Center Arena @ College Park,Atlanta,GA,2012,2022-06-21
2022,Tuesday,June,21,10:00 PM,Regular season,Las Vegas Aces,Chicago Sky,Michelob ULTRA Arena,Las Vegas,NV,4951,2022-06-21
2022,Tuesday,June,21,10:00 PM,Regular season,Phoenix Mercury,Minnesota Lynx,Footprint Center,Phoenix,AZ,6394,2022-06-21
2022,Tuesday,June,21,6:00 AM,Regular season,Los Angeles Sparks,Washington Mystics,Crypto.com Arena,Los Angeles,CA,3745,2022-06-21
